player_uid,season,league,team_id,name_full,war,wraa,raa_def,raa_bsr,standard_scale
milb_tmp:carlos_perez:2024,2024,MiLB,OAK,Carlos Perez,,9.136305618711432,,,milb_std
milb_tmp:elliot_soto:2024,2024,MiLB,LAA,Elliot Soto,,-24.809957956578334,,,milb_std
milb_tmp:jake_lamb:2024,2024,MiLB,PIT,Jake Lamb,,-2.8043120849325462,,,milb_std
milb_tmp:erik_gonzalez:2024,2024,MiLB,CIN,Erik Gonzalez,,-22.849172107479983,,,milb_std
milb_tmp:jack_lopez:2024,2024,MiLB,LAA,Jack Lopez,,-7.831741643032149,,,milb_std
milb_tmp:albert_almora_jr.:2024,2024,MiLB,ARI,Albert Almora Jr.,,-2.5805150558420613,,,milb_std
milb_tmp:andrew_velazquez:2024,2024,MiLB,ATL,Andrew Velazquez,,-14.205443128127676,,,milb_std
milb_tmp:jamie_westbrook:2024,2024,MiLB,BOS,Jamie Westbrook,,8.497102098491558,,,milb_std
milb_tmp:mark_payton:2024,2024,MiLB,CHW,Mark Payton,,14.072277644635731,,,milb_std
milb_tmp:sergio_alcantara:2024,2024,MiLB,ARI,Sergio Alcantara,,6.227351481373378,,,milb_std
milb_tmp:jason_vosler:2024,2024,MiLB,SEA,Jason Vosler,,22.27386212697037,,,milb_std
milb_tmp:eddy_alvarez:2024,2024,MiLB,BOS,Eddy Alvarez,,6.562525449583463,,,milb_std
milb_tmp:michael_chavis:2024,2024,MiLB,SEA,Michael Chavis,,-2.3146728112006696,,,milb_std
milb_tmp:myles_straw:2024,2024,MiLB,CLE,Myles Straw,,-18.31385929882052,,,milb_std
milb_tmp:josh_lester:2024,2024,MiLB,KCR,Josh Lester,,8.840362774787371,,,milb_std
milb_tmp:scott_kingery:2024,2024,MiLB,PHI,Scott Kingery,,2.3766410798298585,,,milb_std
milb_tmp:hoy_park:2024,2024,MiLB,OAK,Hoy Park,,-0.6553935057259757,,,milb_std
milb_tmp:kyle_garlick:2024,2024,MiLB,ARI,Kyle Garlick,,-9.472055397489395,,,milb_std
milb_tmp:brett_sullivan:2024,2024,MiLB,SDP,Brett Sullivan,,2.5278995345045985,,,milb_std
milb_tmp:edwin_rios:2024,2024,MiLB,CIN,Edwin Rios,,21.871221180398237,,,milb_std
milb_tmp:travis_blankenhorn:2024,2024,MiLB,WSN,Travis Blankenhorn,,4.7001644788287305,,,milb_std
milb_tmp:p.j._higgins:2024,2024,MiLB,CIN,P.J. Higgins,,-12.434665477637669,,,milb_std
milb_tmp:brendon_davis:2024,2024,MiLB,LAD,Brendon Davis,,2.682785201497597,,,milb_std
milb_tmp:trenton_brooks:2024,2024,MiLB,SFG,Trenton Brooks,,12.668788422094751,,,milb_std
milb_tmp:cooper_hummel:2024,2024,MiLB,HOU,Cooper Hummel,,16.162827353862394,,,milb_std
milb_tmp:nate_mondou:2024,2024,MiLB,SDP,Nate Mondou,,-2.307797242882062,,,milb_std
milb_tmp:daniel_johnson:2024,2024,MiLB,BAL,Daniel Johnson,,-2.325942876738182,,,milb_std
milb_tmp:mike_brosseau:2024,2024,MiLB,NYM,Mike Brosseau,,2.52903752485542,,,milb_std
milb_tmp:darick_hall:2024,2024,MiLB,PHI,Darick Hall,,-10.417149212930926,,,milb_std
milb_tmp:carlos_narvaez:2024,2024,MiLB,NYY,Carlos Narvaez,,4.440875119955711,,,milb_std
milb_tmp:rylan_bannon:2024,2024,MiLB,NYM,Rylan Bannon,,5.306175614347476,,,milb_std
milb_tmp:charles_leblanc:2024,2024,MiLB,LAA,Charles Leblanc,,4.613863611980806,,,milb_std
milb_tmp:tristan_gray:2024,2024,MiLB,MIA,Tristan Gray,,-0.0702683303569555,,,milb_std
milb_tmp:diego_castillo:2024,2024,MiLB,MIN,Diego Castillo,,1.9967707672084911,,,milb_std
milb_tmp:sandro_fabian:2024,2024,MiLB,TEX,Sandro Fabian,,-0.5547006252235365,,,milb_std
milb_tmp:taylor_trammell:2024,2024,MiLB,NYY,Taylor Trammell,,14.979650934580498,,,milb_std
milb_tmp:eguy_rosario:2024,2024,MiLB,SDP,Eguy Rosario,,10.765138347854649,,,milb_std
milb_tmp:bobby_dalbec:2024,2024,MiLB,BOS,Bobby Dalbec,,5.2355516711066965,,,milb_std
milb_tmp:bligh_madris:2024,2024,MiLB,DET,Bligh Madris,,-1.3789833512154688,,,milb_std
milb_tmp:j.c._escarra:2024,2024,MiLB,NYY,J.C. Escarra,,12.173525115774096,,,milb_std
milb_tmp:matthew_batten:2024,2024,MiLB,SDP,Matthew Batten,,-19.01584922786693,,,milb_std
milb_tmp:brewer_hicklen:2024,2024,MiLB,MIL,Brewer Hicklen,,10.566090764712726,,,milb_std
milb_tmp:seth_beer:2024,2024,MiLB,PIT,Seth Beer,,8.391549343687986,,,milb_std
milb_tmp:drew_waters:2024,2024,MiLB,KCR,Drew Waters,,16.464849490019184,,,milb_std
milb_tmp:cj_alexander:2024,2024,MiLB,KCR,CJ Alexander,,18.56262916987037,,,milb_std
milb_tmp:carlos_perez:2024,2024,MiLB,CHW,Carlos Perez,,-5.459214900329292,,,milb_std
milb_tmp:dermis_garcia:2024,2024,MiLB,WSN,Dermis Garcia,,-11.86682860288903,,,milb_std
milb_tmp:alejo_lopez:2024,2024,MiLB,ATL,Alejo Lopez,,8.75520130650722,,,milb_std
milb_tmp:luken_baker:2024,2024,MiLB,STL,Luken Baker,,12.74015315332366,,,milb_std
milb_tmp:griffin_conine:2024,2024,MiLB,MIA,Griffin Conine,,8.064855577690262,,,milb_std
milb_tmp:andres_chaparro:2024,2024,MiLB,WSN,Andres Chaparro,,27.81211164468137,,,milb_std
