playerID,BABIP,BBK,OPS_plus_approx,avg_ev,whiff_rate,BABIP_z,BBK_z,OPS_plus_approx_z,avg_ev_z,whiff_rate_z
abbotan01,,,,,,,,,0,0
abramcj01,0.29048843187660667,0.3125,115.5,,,0.09226478335532236,-0.12869635059545476,0.4677331820467354,0,0
abreubr01,,,,,,,,,0,0
abreujo02,0.14634146341463414,0.14285714285714285,58.3,,,-1.3838575437488998,-0.8747786556551594,-1.2582918723511456,0,0
abreuwi02,0.33858267716535434,0.32,119.9,,,0.5847689964749773,-0.09571165921386779,0.6005043400773419,0,0
acunalu01,0.3,0.16666666666666666,145.5,,,0.18966702651396117,-0.7700653496818676,1.3729910777099597,0,0
acunaro01,0.32592592592592595,0.5094339622641509,114.5,,,0.4551588264348558,0.7374111117826929,0.4375579188579613,0,0
adamewi01,0.3009950248756219,0.4277456647398844,122.7,,,0.19985647725719408,0.3781493406726683,0.6849950770059093,0,0
adamja01,,,,,,,,,0,0
adamja01,,,,,,,,,0,0
adamsau02,,,,,,,,,0,0
adamsjo03,0.3181818181818182,0.25,96.3,,,0.375856081003939,-0.4035687787753459,-0.11163187117772816,0,0
adamsri03,0.3116883116883117,0.2857142857142857,99.1,,,0.3093599901146612,-0.2464988198154082,-0.02714113424916065,0,0
adcocty01,,,,,,,,,0,0
adelljo01,0.25,0.2777777777777778,106.1,,,-0.3223528733334776,-0.2814032551398387,0.18408570807225832,0,0
adonjo01,,,,,,,,,0,0
adriaeh01,0.2857142857142857,0.18181818181818182,93.5,,,0.043375626557550014,-0.7034296095170454,-0.19612260810629567,0,0
aguiaju01,,,,,,,,,0,0
ahmedni01,0.30303030303030304,0.07142857142857142,83.8,,,0.22069853559562433,-1.1889185735750352,-0.4888226610374049,0,0
ahmedni01,0.2,0.0,44.5,,,-0.8343727731809164,-1.5030584914949108,-1.6747105043562287,0,0
ahmedni01,0.3017241379310345,0.2857142857142857,89.8,,,0.20732288512939012,-0.2464988198154082,-0.3077710819047601,0,0
akinke01,,,,,,,,,0,0
albieoz01,0.28125,0.4153846153846154,109.5,,,-0.002340435928828299,0.32378595425452006,0.2866816029140906,0,0
alcaljo01,,,,,,,,,0,0
alcanke01,0.1111111111111111,0.0,31.2,,,-1.7446303729096968,-1.5030584914949108,-2.0760415047669247,0,0
aldegsa01,,,,,,,,,0,0
alexabl01,0.3333333333333333,0.30612244897959184,105.3,,,0.5310136264122537,-0.15674455755258648,0.1599454975212391,0,0
alexacj01,0.2,0.0,39.0,,,-0.8343727731809164,-1.5030584914949108,-1.8406744518944864,0,0
alexasc01,,,,,,,,,0,0
alexaty01,,,,,,,,,0,0
allarko01,,,,,,,,,0,0
allenlo01,,,,,,,,,0,0
allenlo02,,,,,,,,,0,0
allenni02,0.21052631578947367,0.25,71.5,,,-0.72657911005514,-0.4035687787753459,-0.8599783982593268,0,0
